NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,197912,dezembro 1979
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198001,janeiro 1980
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198002,fevereiro 1980
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198003,março 1980
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198004,abril 1980
1,Brasil,,,...,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198005,maio 1980
1,Brasil,2,%,38.61,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198006,junho 1980
1,Brasil,2,%,37.22,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198007,julho 1980
1,Brasil,2,%,37.65,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198008,agosto 1980
1,Brasil,2,%,35.30,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198009,setembro 1980
1,Brasil,2,%,40.69,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198010,outubro 1980
1,Brasil,2,%,41.98,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198011,novembro 1980
1,Brasil,2,%,43.75,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198012,dezembro 1980
1,Brasil,2,%,45.51,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198101,janeiro 1981
1,Brasil,2,%,47.53,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198102,fevereiro 1981
1,Brasil,2,%,48.58,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198103,março 1981
1,Brasil,2,%,44.48,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198104,abril 1981
1,Brasil,2,%,42.97,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198105,maio 1981
1,Brasil,2,%,41.50,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198106,junho 1981
1,Brasil,2,%,40.73,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198107,julho 1981
1,Brasil,2,%,39.53,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198108,agosto 1981
1,Brasil,2,%,39.91,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198109,setembro 1981
1,Brasil,2,%,38.09,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198110,outubro 1981
1,Brasil,2,%,37.72,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198111,novembro 1981
1,Brasil,2,%,38.25,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198112,dezembro 1981
1,Brasil,2,%,39.17,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198201,janeiro 1982
1,Brasil,2,%,40.68,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198202,fevereiro 1982
1,Brasil,2,%,41.28,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198203,março 1982
1,Brasil,2,%,42.37,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198204,abril 1982
1,Brasil,2,%,44.25,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198205,maio 1982
1,Brasil,2,%,45.86,1,Brasil,2264,IPCA - Variação acumulada em 6 meses,198206,junho 1982
