NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,10.31,1,Brasil,63,IPCA - Variação mensal,198507,julho 1985
1,Brasil,2,%,12.05,1,Brasil,63,IPCA - Variação mensal,198508,agosto 1985
1,Brasil,2,%,11.12,1,Brasil,63,IPCA - Variação mensal,198509,setembro 1985
1,Brasil,2,%,10.62,1,Brasil,63,IPCA - Variação mensal,198510,outubro 1985
1,Brasil,2,%,13.97,1,Brasil,63,IPCA - Variação mensal,198511,novembro 1985
1,Brasil,2,%,15.07,1,Brasil,63,IPCA - Variação mensal,198512,dezembro 1985
1,Brasil,2,%,14.37,1,Brasil,63,IPCA - Variação mensal,198601,janeiro 1986
1,Brasil,2,%,12.72,1,Brasil,63,IPCA - Variação mensal,198602,fevereiro 1986
1,Brasil,2,%,4.77,1,Brasil,63,IPCA - Variação mensal,198603,março 1986
1,Brasil,2,%,0.78,1,Brasil,63,IPCA - Variação mensal,198604,abril 1986
1,Brasil,2,%,1.40,1,Brasil,63,IPCA - Variação mensal,198605,maio 1986
1,Brasil,2,%,1.27,1,Brasil,63,IPCA - Variação mensal,198606,junho 1986
1,Brasil,2,%,1.71,1,Brasil,63,IPCA - Variação mensal,198607,julho 1986
1,Brasil,2,%,3.55,1,Brasil,63,IPCA - Variação mensal,198608,agosto 1986
1,Brasil,2,%,1.72,1,Brasil,63,IPCA - Variação mensal,198609,setembro 1986
1,Brasil,2,%,1.90,1,Brasil,63,IPCA - Variação mensal,198610,outubro 1986
1,Brasil,2,%,5.45,1,Brasil,63,IPCA - Variação mensal,198611,novembro 1986
1,Brasil,2,%,11.65,1,Brasil,63,IPCA - Variação mensal,198612,dezembro 1986
1,Brasil,2,%,13.21,1,Brasil,63,IPCA - Variação mensal,198701,janeiro 1987
1,Brasil,2,%,12.64,1,Brasil,63,IPCA - Variação mensal,198702,fevereiro 1987
1,Brasil,2,%,16.37,1,Brasil,63,IPCA - Variação mensal,198703,março 1987
1,Brasil,2,%,19.10,1,Brasil,63,IPCA - Variação mensal,198704,abril 1987
